what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1342222761395
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1342222761396
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1342222761398
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1342222761399
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1342222761401
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1342222761402
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1342222761405
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1342222761407
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1342222761409
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1342222761411
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1342222761414
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1342222761416
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1342222761417
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1342222761419
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1342222761421
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1342222761424
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1342222761425
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1342222761425
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1342222761426
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1342222761426
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1342222761428
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1342222761430
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342222761431
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1342222761432
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342222761433
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1342222761435
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1342222761436
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1342222761436
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1342222761438
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1342222761439
os,sysinfo,,,"macosx",1342222761442
arch,sysinfo,,,"x86",1342222761442
ws,sysinfo,,,"cocoa",1342222761442
locale,sysinfo,,,"ja_JP",1342222761442
processors,sysinfo,,,"4",1342222761442
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342222761442
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1342222761442
java.specification.name,sysinfo,,,"Java Platform API Specification",1342222761442
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342222761442
java.specification.version,sysinfo,,,"1.6",1342222761442
java.vendor,sysinfo,,,"Apple Inc.",1342222761442
java.version,sysinfo,,,"1.6.0_31",1342222761442
java.vm.info,sysinfo,,,"mixed mode",1342222761442
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1342222761442
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342222761442
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342222761442
java.vm.specification.version,sysinfo,,,"1.0",1342222761442
java.vm.vendor,sysinfo,,,"Apple Inc.",1342222761442
java.vm.version,sysinfo,,,"20.6-b01-415",1342222761442
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1342222765552
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1342222765588
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1342222765610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342222781140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342222813593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1342222813639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342222816320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223057213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223076602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223130385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1342223130430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223136927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223138748
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342223138854
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1342223139576
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1342223139583
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1342223139721
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1342223139722
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1342223139722
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1342223139726
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1342223139728
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1342223139729
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1342223139731
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1342223139732
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1342223139732
stopped,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1342223139732
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1342223139733
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1342223139735
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1342223139737
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1342223139740
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1342223139746
